,Place,room,bed,Condition,price,Rating,reviews
29125,Patong Beach,Deluxe Pool Access Room,1 large double bed,Very good,288.0,8.0,548.0
29126,Haad Rin,Ocean View Superior (Upper Unit),Entire bungalow • 1 bedroom • 1 bathroom • 344.4feet²2 single beds,Review score,63.0,6.5,85.0
29127,Lamai,Double Room with Sea View - Second Floor,1 large double bed,Superb,131.0,9.1,113.0
29128,Khanom,Standard Double or Twin Room with Sea View,"3 beds (2 singles, 1 double)",Good,60.0,7.3,26.0
29129,"Ko Lipe Sunset Beach, Ko Lipe",Seaview Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 226feet²1 extra-large double bed,Good,91.0,7.7,248.0
29130,"Ko Lipe Pattaya Beach, Ko Lipe",Superior Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 172.2feet²1 large double bed,Good,99.0,7.5,90.0
29131,"Long Beach, Ko Lanta",Deluxe Twin Room with Balcony,2 single beds,Superb,86.0,9.2,107.0
29132,Kamala Beach,Deluxe Pool Access with Ocean View,1 extra-large double bed,Fabulous,543.0,8.6,263.0
29133,Ko Jum,Deluxe Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 430.6feet²1 large double bed,Fabulous,14.0,8.8,34.0
29134,"Thong Takian, Lamai",Deluxe Garden Room,1 extra-large double bed,Superb,214.0,9.2,89.0
29135,Ko Yao Noi,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 161.5feet²1 large double bed,Very good,32.0,8.4,237.0
29136,Pak Chong,Deluxe King Room,1 extra-large double bed,Superb,120.0,9.1,34.0
29137,Tha Lane Bay,Bunk Bed in Mixed Dormitory Room,Bed in dormitory1 bunk bed,Superb,10.0,9.0,45.0
29138,Cha Am,Deluxe Double or Twin Room with Mountain View,Multiple bed types,Very good,43.0,8.5,105.0
29139,Ko Phayam,Standard Double Room with Fan,1 extra-large double bed,Good,43.0,7.8,45.0
29140,"Sai Kaew Beach, Ko Samed",Superior King Room,1 extra-large double bed,Good,43.0,7.8,144.0
29141,Railay Beach,Double Room,1 double bed,Review score,43.0,6.7,259.0
29142,"Haad Rin Nok, Haad Rin",Double Room with Pool View,Beds: 1 double or 2 singles,Review score,90.0,6.4,240.0
29143,Ao Nang Beach,Deluxe Double Room with Mountain View,1 large double bed,Superb,82.0,9.1,729.0
29144,"Bangsak Beach, Khao Lak",Superior,"Entire bungalow • 1 bedroom • 1 bathroom • 484.4feet²2 beds (1 double, 1 sofa bed)",Superb,43.0,9.0,270.0
29145,"Tonsai Bay, Phi Phi Don",Deluxe Double Room with Balcony,1 large double bed,Good,56.0,7.4,265.0
29146,Koh Tao,Standard Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 172.2feet²2 single beds,Good,41.0,7.7,168.0
29147,Ao Nang Beach,Deluxe Pool View,Beds: 1 double or 2 singles,Review score,50.0,6.3,87.0
29148,Ko Phayam,Seaview Bungalows,1 large double bed,Fabulous,43.0,8.6,29.0
29149,Ko Mak,Bungalow - Beach Front,Entire bungalow • 1 bedroom • 1 bathroom • 366feet²1 large double bed,Very good,179.0,8.5,73.0
29150,Ban Mai Na Hi,Standard Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 322.9feet²1 large double bed,Review score,16.0,6.5,14.0
29152,Ko Yao Noi,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 269.1feet²1 extra-large double bed,Good,40.0,7.6,41.0
29153,Pai,Standard Queen Room,1 double bed,Good,18.0,7.5,152.0
29154,Mu Si,Family Suite,2 double beds,Good,451.0,7.5,39.0
29155,"White Sand Beach, Ko Chang",Koh Chang Hillside Room,Beds: 1 double or 2 singles,Very good,43.0,8.3,359.0
29156,Mai Khao Beach,Villa 3 BR Private Pool,"Entire apartment • 3 bedrooms • 1 bathroom • 1 kitchen • 7,050.4feet²5 beds (4 singles, 1 extra-large double)",Very good,43.0,8.2,47.0
29157,Pattaya North,Deluxe Room,1 extra-large double bed,Fabulous,43.0,8.8,563.0
29158,Ao Nang Beach,Palm Twin Villa,Entire villa • 1 bedroom • 1 bathroom • 312.2feet²1 large double bed,Review score,40.0,6.8,150.0
29159,Roi Et,Holiday Home,Entire holiday home • 1 bedroom • 1 living room • 1 bathroom • 387.5feet²1 extra-large double bed,Very good,24.0,8.5,46.0
29160,"Koh Lanta Old Town, Ko Lanta",Superior King Room,1 extra-large double bed,Exceptional,40.0,9.7,78.0
29161,Patong Beach,Superior City View - ABSC Wing,Beds: 1 double or 2 singles,Very good,43.0,8.0,183.0
29162,"Chang Moi, Chiang Mai",Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,50.0,8.7,8.0
29163,Lop Buri,One-Bedroom Chalet,Entire chalet • 1 bedroom • 1 bathroom • 215.3feet²2 double beds,Fabulous,22.0,8.7,38.0
29164,Sawankhalok,Standard Queen Room,1 large double bed,Good,16.0,7.9,10.0
29165,Lipa Noi,Villa with Partial Garden View,Entire villa • 1 bedroom • 1 bathroom • 861.1feet²1 extra-large double bed,Fabulous,95.0,8.8,26.0
29166,Ban Map Chalut,Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom2 single beds,Superb,64.0,9.1,21.0
29167,Phuket Town,Twin Room with Balcony,2 single beds,Fabulous,33.0,8.8,288.0
29168,"Klong Khong Beach, Ko Lanta",Standard Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 215.3feet²1 extra-large double bed,Very good,24.0,8.4,107.0
29169,"Klong Khong Beach, Ko Lanta",Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 129.2feet²1 large double bed,Good,16.0,7.7,50.0
29170,Klong Muang Beach,Standard Bungalow with Fan (near street),Entire bungalow • 1 bedroom • 1 bathroom • 161.5feet²1 large double bed,Very good,11.0,8.1,157.0
29171,Chao Lao Beach,Deluxe Twin Room with Pool View,2 single beds,Good,101.0,7.8,19.0
29172,Mae Nam,Tropical Villa,Entire villa • 1 bedroom • 1 bathroom • 990.3feet²1 double bed,Fabulous,189.0,8.8,45.0
29173,Chiang Rai,Deluxe Twin Room,2 single beds,Good,43.0,7.5,27.0
29174,Ban Pak Yang,Building Room,2 single beds,Good,43.0,7.8,26.0
29175,Chaweng Noi Beach,Ocean view executive 2 bedroom villa,"Entire villa • 2 bedrooms • 2 bathrooms • 1,291.7feet²2 extra-large double beds",Very good,43.0,8.5,12.0
29176,"Nopparat Thara Beach, Ao Nang Beach",Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 279.9feet²1 large double bed,Very good,46.0,8.0,140.0
29178,Laem Sing,Comfort Double or Twin Room,Beds: 1 double or 2 singles,Good,40.0,7.2,24.0
29179,"Klong Nin Beach, Ko Lanta",Deluxe Villa,Entire villa • 1 bedroom • 1 bathroom • 322.9feet²1 extra-large double bed,Very good,36.0,8.4,52.0
29180,"Kan Tiang Beach, Ko Lanta",Suite,1 double bed,Good,43.0,7.8,115.0
29181,Nong Prue,Deluxe Double Room with Garden View,1 double bed,Very good,43.0,8.5,21.0
29182,Pong Talong,Standard King Room,1 extra-large double bed,Exceptional,53.0,9.5,60.0
29183,Pai,Cutie Twin Room,2 single beds,Good,28.0,7.8,154.0
29184,"Sairee Beach, Koh Tao",Suite with Sea View,Private suite1 large double bed,Good,62.0,7.5,202.0
29185,"Phra Ae Beach, Ko Lanta",Double Room with Garden View,1 double bed,Fabulous,57.0,8.9,103.0
29186,Klong Muang Beach,Twin Room with Pool View,2 single beds,Superb,41.0,9.2,60.0
29187,Hua Hin,Standard King Room,1 large double bed,Good,43.0,7.9,68.0
29188,Ban Bang Phra,Deluxe King Room,1 extra-large double bed,Good,20.0,7.8,6.0
29189,Sakon Nakhon,Deluxe Double Room,1 extra-large double bed,Good,28.0,7.6,14.0
29190,"Klong Nin Beach, Ko Lanta",Deluxe King Suite,Private suite1 large double bed,Superb,129.0,9.1,14.0
29191,"Sairee Beach, Koh Tao",Standard Double or Twin Room,Beds: 1 double or 2 singles,Good,43.0,7.9,117.0
29192,"Aow Yai Beach, Ko Phayam",Standard Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 215.3feet²1 extra-large double bed,Good,39.0,7.7,54.0
29193,Ao Nang Beach,Villa with Private Pool,"Entire villa • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 710.4feet²3 beds (1 sofa bed, 2 large doubles)",Superb,140.0,9.3,293.0
29194,"Dongtan Beach, Pattaya South",Superior Double or Twin Room with Pool View,1 large double bed,Very good,69.0,8.0,172.0
29195,Ko Phayam,Seaview Bungalows,1 large double bed,Fabulous,43.0,8.6,29.0
29196,Ao Nang Beach,Deluxe Double Room with Mountain View,1 large double bed,Superb,82.0,9.1,729.0
29197,Ban Mai Na Hi,Standard Bungalow with Fan,Entire bungalow • 1 bedroom • 1 bathroom • 322.9feet²2 single beds,Review score,16.0,6.5,14.0
29199,Ko Yao Noi,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 269.1feet²2 single beds,Good,40.0,7.6,41.0
29200,Pai,Standard Queen Room,1 double bed,Good,18.0,7.5,152.0
29201,Mu Si,Family Suite,2 double beds,Good,451.0,7.5,39.0
29202,Mai Khao Beach,Villa 3 BR Private Pool,"Entire apartment • 3 bedrooms • 1 bathroom • 1 kitchen • 7,050.4feet²5 beds (4 singles, 1 extra-large double)",Very good,43.0,8.2,47.0
29203,Pattaya North,Deluxe Room,1 extra-large double bed,Fabulous,43.0,8.8,563.0
29205,Ao Nang Beach,Palm Twin Villa,Entire villa • 1 bedroom • 1 bathroom • 312.2feet²1 large double bed,Review score,40.0,6.8,150.0
29206,Roi Et,Holiday Home,Entire holiday home • 1 bedroom • 1 living room • 1 bathroom • 387.5feet²1 extra-large double bed,Very good,24.0,8.5,46.0
29207,"Koh Lanta Old Town, Ko Lanta",Superior King Room,1 extra-large double bed,Exceptional,40.0,9.7,78.0
29208,"Chang Moi, Chiang Mai",Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,50.0,8.7,8.0
29209,Tha Lane Bay,Bunk Bed in Mixed Dormitory Room,Bed in dormitory1 bunk bed,Superb,10.0,9.0,45.0
29210,Lop Buri,One-Bedroom Chalet,Entire chalet • 1 bedroom • 1 bathroom • 215.3feet²2 double beds,Fabulous,22.0,8.7,38.0
29211,Sawankhalok,Standard Queen Room,1 large double bed,Good,16.0,7.9,10.0
29212,Lipa Noi,Villa with Partial Garden View,Entire villa • 1 bedroom • 1 bathroom • 861.1feet²1 extra-large double bed,Fabulous,95.0,8.8,26.0
29213,Ban Map Chalut,Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom2 single beds,Superb,64.0,9.1,21.0
29214,Phuket Town,Twin Room with Balcony,2 single beds,Fabulous,33.0,8.8,288.0
29215,"Klong Khong Beach, Ko Lanta",Standard Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 215.3feet²1 extra-large double bed,Very good,24.0,8.4,107.0
29216,"Klong Khong Beach, Ko Lanta",Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 129.2feet²1 large double bed,Good,16.0,7.7,50.0
29217,Ban Cha-om,Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 279.9feet²1 extra-large double bed,Good,44.0,7.7,21.0
29218,Ban Bua Yai,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 226feet²1 large double bed,Exceptional,16.0,9.5,4.0
29219,Nong Sarai,Standard Double Room,1 extra-large double bed,Very good,50.0,8.3,91.0
