,Place,room,bed,Condition,price,Rating,reviews
246,"Runtree Bay, Phi Phi Don",Garden Bamboo Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 269.1feet²1 large double bed,Very good,102.0,8.2,602.0
247,Suphan Buri,Small Double Room,1 large double bed,Good,23.0,7.7,68.0
248,Patong Beach,Standard Room,Multiple bed types,Fabulous,221.0,8.9,1221.0
249,Ko Yao Yai,Bamboo Superior Double or Twin Room,Multiple bed types,Very good,100.0,8.3,206.0
250,Mae Hong Son,Deluxe Queen Room with Two Queen Beds,2 double beds,Fabulous,20.0,8.9,374.0
251,"Chaweng City Center , Chaweng",Deluxe Garden Twin,2 single beds,Superb,43.0,9.4,420.0
252,Mae Salong,Standard King Room,1 extra-large double bed,Very good,46.0,8.3,71.0
253,Kaeng Krachan,Superior Double Room,1 large double bed,Fabulous,43.0,8.6,157.0
254,Chom Thong,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 161.5feet²2 single beds,Very good,29.0,8.3,113.0
255,Mai Khao Beach,Grande Terrace - Double Room with Two Double Beds and Garden View,2 double beds,Fabulous,402.0,8.8,291.0
256,Bangrak Beach,Deluxe Double or Twin Room,Multiple bed types,Good,57.0,7.2,617.0
257,"Ko Lipe Sunrise Beach, Ko Lipe",SeaBreeze Deluxe Plus,Entire bungalow • 1 bedroom • 1 bathroom • 215.3feet²1 extra-large double bed,Very good,132.0,8.1,332.0
258,Chai Nat,Deluxe Double Room,1 extra-large double bed,Superb,27.0,9.0,44.0
259,"Chang Khlan, Chiang Mai",Riverfront Colonial Suite,Private suite1 large double bed,Superb,823.0,9.2,187.0
260,Ao Nang Beach,Deluxe King,1 extra-large double bed,Fabulous,151.0,8.8,671.0
261,Amphoe Kumphawapi,Premier Lakeview Room,1 large double bed,Exceptional,43.0,9.6,18.0
262,Phimai,Bungalow - Water Front,Entire bungalow • 1 bedroom • 1 bathroom • 161.5feet²1 large double bed,Very good,20.0,8.1,104.0
263,Panwa Beach,Two-Bedroom Suite with Sea View,"Private suite • 2 bedrooms • 1 bathroom • 1,216.3feet²4 beds (2 singles, 1 sofa bed, 1 large double)",Fabulous,358.0,8.9,268.0
264,Nong Nam Daeng,Deluxe Twin Room,2 single beds,Good,43.0,7.8,126.0
265,Karon Beach,Deluxe Room,Beds: 1 double or 2 singles,Good,43.0,7.8,142.0
266,Ban Bang Po,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Good,43.0,7.9,73.0
267,Ban Pak Ba Ra,Deluxe Twin Room,1 single bed,Good,24.0,7.6,130.0
268,Koh Samui,One Bedroom Suite Sea View,1 large double bed,Very good,43.0,8.0,181.0
270,Karon Beach,Deluxe Room,Beds: 1 double or 2 singles,Good,102.0,7.8,142.0
271,Ban Bang Po,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Good,225.0,7.9,73.0
272,Ban Pak Ba Ra,Deluxe Twin Room,1 single bed,Good,24.0,7.6,130.0
273,Koh Samui,Deluxe Suite Sea View,Private suite • 1 bedroom • 1 living room • 1 bathroom • 699.7feet²1 extra-large double bed,Very good,177.0,8.0,181.0
275,Taling Ngam Beach,Resort Classic Twin Room,2 single beds,Fabulous,263.0,8.9,122.0
276,"Tapao Beach, Ko Kood",Superior Twin Room with Garden View,2 single beds,Very good,89.0,8.4,202.0
277,Ban Pa Ruak,Superior Double Room,1 extra-large double bed,Good,17.0,7.7,56.0
278,Kanchanaburi,Superior King Room,1 extra-large double bed,Very good,43.0,8.2,501.0
279,Bophut,Standard Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,171.0,8.8,390.0
280,"Chaweng City Center , Chaweng",Grand Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,150.0,8.7,742.0
281,Ko Phayam,Standard Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 344.4feet²1 extra-large double bed,Superb,101.0,9.1,143.0
282,"Aow Yai Beach, Ko Phayam",Deluxe Double Room with Partial Sea View,1 extra-large double bed,Fabulous,69.0,8.6,38.0
283,"Khao Takiab, Hua Hin",Duplex Jacuzzi Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 462.9feet²2 beds (1 extra-large double, 1 sofa bed)",Fabulous,196.0,8.7,694.0
284,"White Sand Beach, Ko Chang",Superior Twin Room,2 single beds,Very good,45.0,8.2,637.0
285,Railay Beach,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Good,101.0,7.9,604.0
286,Wangthong,Standard Double or Twin Room with Garden View,Multiple bed types,Review score,26.0,5.0,1.0
287,Mae Rim,Garden Pavillion with Two Twin Beds,2 single beds,Superb,1205.0,9.4,117.0
288,"Ko Lipe Sunrise Beach, Ko Lipe",Deluxe Thai Pool View,1 double bed,Good,116.0,7.8,216.0
289,Kaengsopha,Superior Room,Beds: 1 double or 2 singles,Good,40.0,7.9,25.0
290,Chiang Rai,Classic Double,1 double bed,Fabulous,33.0,8.8,573.0
291,"White Sand Beach, Ko Chang",Hillside Deluxe Building,Multiple bed types,Very good,86.0,8.1,603.0
292,Natai Beach,Deluxe Twin Room (Modern Style),2 single beds,Very good,86.0,8.0,76.0
293,Hua Hin,Villa with Private Pool,"Entire villa • 1 bedroom • 1 living room • 2 bathrooms • 1 kitchen • 1,614.6feet²2 beds (1 double, 1 sofa bed)",Good,173.0,7.0,9.0
294,"Chaweng City Center , Chaweng",Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,118.0,8.8,747.0
295,Phuket Town,"Superior, Guest room, 1 King, Alternate bed: sofa bed",Multiple bed types,Very good,231.0,8.4,1116.0
296,Cha Am,Deluxe Sea View Room with Terrace,Multiple bed types,Very good,103.0,8.4,445.0
297,"Chalok Baan Kao, Koh Tao",Cottage with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 193.8feet²1 extra-large double bed,Fabulous,80.0,8.8,466.0
298,"Haad Rin Nai, Haad Rin",Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,180.0,8.9,203.0
299,"Haad Rin Nok, Haad Rin",Superior Room with Sea View (2-3 Adults),"2 beds (1 single, 1 double)",Good,55.0,7.4,235.0
300,Ban Nong Chaeng,Family Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 807.3feet²2 extra-large double beds,Superb,40.0,9.4,18.0
301,Kui Buri,Deluxe Villa with Garden,Entire villa • 1 bedroom • 1 bathroom • 753.5feet²1 large double bed,Good,122.0,7.7,66.0
302,Ban Na Dan,King Room with Garden View,1 extra-large double bed,Fabulous,60.0,8.7,53.0
303,"Mueang Kao, Sukhothai",Standard Double or Twin Room,Multiple bed types,Good,49.0,7.6,115.0
304,"Laguna Phuket, Bang Tao Beach",Ocean View 1 King Bed,1 extra-large double bed,Very good,381.0,8.5,684.0
305,Kanchanaburi,Deluxe Double or Twin Room,2 single beds,Fabulous,43.0,8.7,199.0
306,Thong Nai Pan Noi,Superior Room,1 extra-large double bed,Very good,43.0,8.0,776.0
307,Hua Hin,Studio with Sea View Terrace,"Entire studio • 1 bathroom • 1 kitchen • 645.8feet²2 beds (1 sofa bed, 1 large double)",Very good,53.0,8.5,467.0
308,Ban Wang Khanai,Deluxe Room (2 Adults + 1 Child),1 extra-large double bed,Good,21.0,7.7,26.0
309,"Bang Niang Beach, Khao Lak",Superior Twin Room,2 double beds,Superb,182.0,9.0,305.0
310,Ban Pong,Theater Double Room - Non-Smoking,1 double bed,Good,43.0,7.4,33.0
311,"Loh Dalum Bay, Phi Phi Don",Standard Twin Room,2 single beds,Good,82.0,7.4,892.0
312,Ko Si Chang,Deluxe Room,Beds: 1 double or 2 singles,Fabulous,70.0,8.7,70.0
313,"Kai Bae Beach, Ko Chang",Deluxe Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 172.2feet²1 large double bed,Fabulous,43.0,8.8,261.0
314,Choeng Mon Beach,Grand Deluxe Double or Twin Room,Multiple bed types,Very good,174.0,8.3,228.0
315,"Saladan, Ko Lanta",Superior Double or Twin Room,1 extra-large double bed,Very good,52.0,8.1,109.0
316,Karon Beach,Superior Double or Twin Villa with Sea View,Beds: 1 double or 2 singles,Review score,43.0,6.6,598.0
317,"Ko Kwang Beach, Ko Lanta",Avani Room,Multiple bed types,Fabulous,169.0,8.9,118.0
318,Wangkata,Superior Villa,Entire villa • 1 bedroom • 1 bathroom • 301.4feet²1 large double bed,Good,43.0,7.9,88.0
319,Ban Bang Po,Superior Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 1 kitchen • 344.4feet²1 large double bed,Very good,51.0,8.3,242.0
320,Karon Beach,Superior Twin Room,2 single beds,Very good,43.0,8.1,305.0
321,Phayao,Standard Double Room,1 extra-large double bed,Very good,34.0,8.2,309.0
322,Sai Yok,Superior Double or Twin Room,Beds: 1 double or 2 singles,Good,23.0,7.5,192.0
323,Khanom,Superior Suite,Private suite1 large double bed,Very good,43.0,8.0,77.0
324,Tab Kaek Beach,Superior Double Room,1 extra-large double bed,Very good,166.0,8.2,78.0
325,Nong Khai,King Room with Pool View,1 large double bed,Good,27.0,7.4,94.0
326,"Klong Nin Beach, Ko Lanta",Earth Suite,1 extra-large double bed,Good,74.0,7.7,309.0
327,Nai Yang Beach,Deluxe Room with pool view (NO airport transfer),1 extra-large double bed,Very good,89.0,8.3,798.0
328,Ko Jum,Double Room with Garden View,1 double bed,Fabulous,43.0,8.6,97.0
329,Chom Thong,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Good,47.0,7.8,23.0
330,Mai Khao Beach,One Bedroom Suite,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 1,011.8feet²2 beds (1 extra-large double, 1 sofa bed)",Superb,489.0,9.0,106.0
331,"Khuk Khak Beach, Khao Lak",Deluxe King Room with Sofa Bed and Pool View,"2 beds (1 extra-large double, 1 sofa bed)",Superb,271.0,9.1,397.0
332,Chumphon,Standard Double Room,1 large double bed,Very good,23.0,8.4,295.0
333,"Thong Takian, Lamai",Ocean View Pool Villa,"Entire villa • 1 bedroom • 1 living room • 1 bathroom • 1,399.3feet²2 beds (1 extra-large double, 1 sofa bed)",Superb,999.0,9.4,127.0
334,Hua Hin,Premium Garden View Room,Beds: 1 double or 2 singles,Fabulous,154.0,8.8,497.0
335,Mae Salong,Superior King Room,1 extra-large double bed,Very good,51.0,8.4,102.0
336,"Klong Prao Beach, Ko Chang",Villa,Multiple bed types,Good,44.0,7.7,314.0
337,"Haad Rin Nok, Haad Rin",Deluxe King Room with Balcony,1 extra-large double bed,Very good,57.0,8.3,247.0
338,"Kai Bae Beach, Ko Chang",Sea Front Baungalow,1 large double bed,Very good,119.0,8.2,522.0
339,"Klong Prao Beach, Ko Chang",Garden Villa,Entire villa • 1 bedroom • 1 bathroom • 538.2feet²1 large double bed,Fabulous,142.0,8.8,788.0
340,Don Tum,Superior Double or Twin Room,Beds: 1 double or 2 singles,Good,37.0,7.9,50.0
341,Lipa Noi,Pool Access Suite,Private suite1 extra-large double bed,Very good,347.0,8.1,222.0
342,"Klong Chak Beach, Ko Lanta",Garden Villa,Entire villa • 1 bedroom • 1 bathroom • 559.7feet²1 large double bed,Fabulous,175.0,8.9,286.0
343,Kamphaeng Phet,Deluxe Room,1 large double bed,Good,31.0,7.9,131.0
344,Mae Nam,Double Room with Spa Bath,1 large double bed,Fabulous,148.0,8.7,223.0
345,"Thong Takian, Lamai",Two Bedroom Ocean View Duplex Pool Villa,"Entire villa • 2 bedrooms • 2 bathrooms • 2,152.8feet²2 extra-large double beds",Superb,540.0,9.3,277.0
346,Chiang Rai,Superior Studio,Beds: 1 double or 2 singles,Fabulous,94.0,8.6,293.0
347,"Klong Khong Beach, Ko Lanta",Deluxe Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 301.4feet²1 extra-large double bed,Superb,26.0,9.1,287.0
348,Mae Nam,Economy Quadruple Room with Shared Bathroom,"3 beds (2 singles, 1 large double)",Very good,57.0,8.2,127.0
349,"Bang Niang Beach, Khao Lak",Deluxe Room,"2 beds (1 extra-large double, 1 sofa bed)",Fabulous,214.0,8.8,199.0
350,Kanchanaburi,Deluxe Double or Twin Room,2 single beds,Fabulous,73.0,8.7,199.0
351,Karon Beach,"Guest room, 1 King, Balcony",1 extra-large double bed,Fabulous,422.0,8.7,660.0
352,Thong Nai Pan Noi,Sea View Villa - Outdoor Shower,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 914.9feet²2 beds (1 extra-large double, 1 sofa bed)",Very good,164.0,8.0,776.0
353,Hua Hin,Studio with Sea View Terrace,"Entire studio • 1 bathroom • 1 kitchen • 645.8feet²2 beds (1 sofa bed, 1 large double)",Very good,53.0,8.5,467.0
354,Ban Wang Khanai,Deluxe Room (2 Adults + 1 Child),1 extra-large double bed,Good,17.0,7.7,26.0
355,"Bang Niang Beach, Khao Lak",Superior King Room,1 extra-large double bed,Superb,182.0,9.0,305.0
356,Ban Pong,King Room with Garden View,1 large double bed,Good,41.0,7.4,33.0
357,"Loh Dalum Bay, Phi Phi Don",Standard Twin Room,2 single beds,Good,82.0,7.4,892.0
358,Bang Saphan,Twin Room with Balcony,2 single beds,Good,16.0,7.3,27.0
359,Ko Si Chang,Deluxe Room,Beds: 1 double or 2 singles,Fabulous,70.0,8.7,70.0
360,"Kai Bae Beach, Ko Chang",Deluxe Bungalow,Entire bungalow • 1 bedroom • 1 living room • 1 bathroom • 172.2feet²1 large double bed,Fabulous,94.0,8.8,261.0
361,Choeng Mon Beach,Grand Deluxe Double or Twin Room,Multiple bed types,Very good,174.0,8.3,228.0
362,"Saladan, Ko Lanta",Superior Double or Twin Room,1 extra-large double bed,Very good,52.0,8.1,109.0
363,Karon Beach,Superior Double or Twin Villa with Sea View,Beds: 1 double or 2 singles,Review score,96.0,6.6,598.0
364,"Ko Kwang Beach, Ko Lanta",Avani Room,Multiple bed types,Fabulous,169.0,8.9,118.0
365,Ko Mak,Bungalow - Beach Front,Entire bungalow • 1 bedroom • 1 bathroom • 366feet²1 large double bed,Very good,179.0,8.5,73.0
366,Ban Bang Po,Bungalow with Air Conditioning,Entire bungalow • 1 bedroom • 1 bathroom • 258.3feet²1 large double bed,Good,40.0,7.4,68.0
367,Ao Nang Beach,Superior Double or Twin Room,Multiple bed types,Very good,57.0,8.0,364.0
368,Klong Muang Beach,Deluxe King Room,1 extra-large double bed,Fabulous,312.0,8.8,457.0
369,Ban Ta Khun,Quadruple Room,2 large double beds,Very good,50.0,8.0,116.0
370,"White Sand Beach, Ko Chang",Koh Chang Hillside Room,Beds: 1 double or 2 singles,Very good,60.0,8.3,359.0
371,Bang Tao Beach,Suite with Mountain View,"Private suite2 beds (1 extra-large double, 1 sofa bed)",Very good,283.0,8.5,296.0
372,Railay Beach,Garden Cottage- Free Beach Shuttle,Entire bungalow • 1 bedroom • 1 bathroom • 376.7feet²1 large double bed,Fabulous,116.0,8.7,1066.0
373,Nakhon Chai Si,Bungalow - Water Front,Entire bungalow • 1 bedroom • 129.2feet²1 large double bed,Very good,26.0,8.3,48.0
374,Choeng Mon Beach,Pool Suite with Garden View,Private suite1 double bed,Fabulous,303.0,8.7,116.0
375,"Ao Noi Nha, Ko Samed",Studio,1 large double bed,Very good,34.0,8.0,85.0
376,Chao Lao Beach,Superior Twin Room,2 single beds,Fabulous,68.0,8.7,159.0
377,"Klong Khong Beach, Ko Lanta",Standard Double Room,1 extra-large double bed,Superb,54.0,9.0,202.0
378,Lamai,Superior Garden View King,1 extra-large double bed,Very good,111.0,8.5,219.0
379,Mai Khao Beach,Deluxe Double or Twin Room with Balcony,Multiple bed types,Fabulous,416.0,8.9,405.0
380,Chai Badan,Standard Double Room,1 double bed,Good,14.0,7.5,20.0
381,"Klong Khong Beach, Ko Lanta",Superior Double Room,1 large double bed,Good,29.0,7.7,267.0
382,Haad Pleayleam,Double Room with Balcony and Sea View,1 large double bed,Good,172.0,7.3,288.0
383,"Chaweng City Center , Chaweng",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Very good,215.0,8.1,500.0
384,"Fisherman Village, Bophut",Deluxe Garden View Room,1 extra-large double bed,Superb,297.0,9.1,102.0
385,Damnoen Saduak,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Very good,54.0,8.3,109.0
386,Ban Pho Ngam,Standard Double Room,1 double bed,Exceptional,57.0,10.0,1.0
387,Prasat,Double Room with Balcony,1 double bed,Fabulous,19.0,8.6,32.0
388,Mae Wang,Standard Twin Room with Shared Bathroom,2 single beds,Very good,41.0,8.1,26.0
389,Amphawa,Standard Double Room,1 double bed,Very good,20.0,8.1,445.0
390,"Laem Pakarang Beach, Khao Lak",Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,121.0,8.8,311.0
391,Koh Tao,Superior Double or Twin Room,2 extra-large double beds,Good,69.0,7.6,305.0
392,"Chaweng Beachfront, Chaweng",Superior Double or Twin Room with One-Way Airport  Transfer,Beds: 1 double or 2 singles,Very good,109.0,8.2,473.0
393,Chaweng Noi Beach,Villa with Spa Bath,Entire villa • 1 bedroom • 1 bathroom • 828.8feet²1 large double bed,Good,129.0,7.8,269.0
394,Suan Phung,Cottage,Multiple bed types,Good,54.0,7.6,90.0
395,Koh Tao,Superior Double Room with Sea View,1 extra-large double bed,Fabulous,63.0,8.9,318.0
396,Chaweng Noi Beach,Studio,Entire studio • 1 bathroom • 430.6feet²1 large double bed,Review score,63.0,6.5,103.0
397,Pai,Single Bed in Female Dormitory Room,Bed in dormitory1 futon bed,Very good,8.0,8.2,268.0
398,Taling Ngam Beach,AVANI Deluxe Room,Multiple bed types,Very good,119.0,8.3,85.0
399,"Lamai City Centre, Lamai",Standard Double or Twin Room,Beds: 1 double or 2 singles,Good,81.0,7.5,136.0
400,Railay Beach,Deluxe Double or Twin Room with Pool View,Beds: 1 double or 2 singles,Fabulous,103.0,8.6,1053.0
401,Mae Hong Son,Standard Twin Room,2 single beds,Fabulous,17.0,8.6,73.0
402,"Haad Rin Nai, Haad Rin",Deluxe Double or Twin Room,1 double bed,Fabulous,43.0,8.7,276.0
403,Hua Hin,Silksand Double or Twin Room,Multiple bed types,Fabulous,148.0,8.7,354.0
404,Lamai,Garden View Pool Villa,Entire villa • 1 bedroom • 1 bathroom • 1 kitchen • 645.8feet²1 large double bed,Superb,234.0,9.1,100.0
405,"Sairee Beach, Koh Tao",Grand Superior Room,Beds: 1 double or 2 singles,Good,43.0,7.8,532.0
406,Panwa Beach,Premier Pool Access Room,1 extra-large double bed,Fabulous,43.0,8.7,445.0
407,Kamphaeng Phet,Single Room,1 single bed,Good,13.0,7.3,55.0
408,"Bang Niang Beach, Khao Lak",Deluxe Oasis King Room,1 large double bed,Fabulous,241.0,8.9,223.0
409,Mon Jam,Superior Queen Room,1 large double bed,Fabulous,47.0,8.8,5.0
410,"Nopparat Thara Beach, Ao Nang Beach",Superior Double or Twin Room,Beds: 1 double or 2 singles,Good,51.0,7.8,514.0
411,Mae Nam,Grand Deluxe Double Room,1 extra-large double bed,Very good,43.0,8.3,197.0
412,Ban Tha Thong Mon,Superior Room with Mountain View,1 large double bed,Very good,46.0,8.2,67.0
413,Natai Beach,Beach House,Multiple bed types,Fabulous,43.0,8.6,112.0
414,Nan,Standard King Room,1 double bed,Fabulous,46.0,8.8,161.0
415,Ao Nang Beach,Deluxe Garden View - King,1 extra-large double bed,Good,43.0,7.9,640.0
416,"Ko Kwang Beach, Ko Lanta",Deluxe Family Bungalow,"2 beds (1 bunk bed, 1 large double)",Very good,143.0,8.5,142.0
417,"Ao Wong Duan, Ko Samed",Cottage with Garden View,Entire holiday home • 1 bedroom • 1 bathroom • 150.7feet²1 large double bed,Very good,43.0,8.0,245.0
418,Nai Yang Beach,"Deluxe Room, Guest room, 2 Double, Balcony",2 large double beds,Fabulous,333.0,8.8,422.0
419,Na Jomtien,Deluxe Twin Room,2 single beds,Very good,43.0,8.1,288.0
420,"Klong Prao Beach, Ko Chang",AANA Deluxe Double or Twin Room,Multiple bed types,Very good,43.0,8.3,242.0
421,Haad Chao Samran,Standard Twin Room with Sofa,2 single beds,Good,66.0,7.8,155.0
422,Ao Nang Beach,Deluxe King Room,1 extra-large double bed,Very good,81.0,8.3,126.0
423,"Thong Takian, Lamai",Villa with Garden View,Entire villa • 1 bedroom • 1 living room • 1 bathroom • 193.8feet²1 double bed,Superb,67.0,9.0,280.0
424,Bang Tao Beach,Standard Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 301.4feet²1 double bed,Very good,76.0,8.4,163.0
425,Ko Si Chang,Deluxe Double Room with Sea View,1 extra-large double bed,Fabulous,90.0,8.8,158.0
426,"Klong Prao Beach, Ko Chang",Superior Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 258.3feet²1 large double bed,Fabulous,43.0,8.9,249.0
427,Baan Tai,Junior Suite,Beds: 1 double or 2 singles,Very good,167.0,8.4,209.0
428,"Ao Cho, Ko Samed",Superior garden view,Entire holiday home • 1 bedroom • 1 bathroom • 355.2feet²1 double bed,Very good,114.0,8.2,301.0
429,Ao Nang Beach,AVANI Room,Beds: 1 double or 2 singles,Very good,102.0,8.4,313.0
430,Bang Saphan Noi,Bungalow - Beach Front,Entire holiday home • 1 bedroom • 1 bathroom • 269.1feet²1 large double bed,Very good,43.0,8.4,29.0
431,Lamai,Double Room with Spa Bath,Multiple bed types,Very good,146.0,8.5,242.0
432,"Bangsak Beach, Khao Lak",Deluxe Double or Twin Room with Pool View,Multiple bed types,Very good,103.0,8.3,110.0
433,Ko Ngai,Lay Maya Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 333.7feet²1 extra-large double bed,Good,88.0,7.6,83.0
434,Sangkhla Buri,Standard Twin Room,2 single beds,Good,43.0,7.3,51.0
435,Ban Huai Thuan,Queen Room,1 large double bed,Good,69.0,7.7,48.0
436,Ban Mai,Deluxe Double Room,1 extra-large double bed,Fabulous,44.0,8.7,11.0
437,Chumphon,Standard Room,1 extra-large double bed,Very good,41.0,8.4,383.0
